Source,Target,Type,id,label,timeset,weight
10539,10827,Undirected,225419,,,57
10542,10476,Undirected,224291,,,57
10556,11086,Undirected,257137,,,57
10659,11996,Undirected,237853,,,57
10774,10560,Undirected,234888,,,57
11269,10775,Undirected,226967,,,57
11557,10838,Undirected,232847,,,57
11815,11816,Undirected,235107,,,57
10476,10615,Undirected,224708,,,56
10504,10575,Undirected,254281,,,56
10530,10747,Undirected,236496,,,56
10532,10953,Undirected,231355,,,56
10534,10553,Undirected,233012,,,56
10539,10534,Undirected,225422,,,56
10558,10601,Undirected,228287,,,56
10558,10839,Undirected,228848,,,56
10561,10711,Undirected,234878,,,56
10622,11567,Undirected,238767,,,56
10625,10542,Undirected,228902,,,56
10689,10685,Undirected,231156,,,56
10827,10581,Undirected,228438,,,56
10829,10827,Undirected,225328,,,56
10843,11557,Undirected,237831,,,56
10844,11366,Undirected,228783,,,56
10994,10601,Undirected,229833,,,56
11364,10557,Undirected,232397,,,56
11374,11469,Undirected,232026,,,56
11772,10530,Undirected,230514,,,56
10472,10541,Undirected,228450,,,55
10541,10601,Undirected,228296,,,55
10541,11983,Undirected,231763,,,55
10551,10844,Undirected,225484,,,55
10571,10598,Undirected,224525,,,55
10658,10659,Undirected,237688,,,55
10774,11838,Undirected,240553,,,55
10801,10802,Undirected,232706,,,55
10805,12384,Undirected,266586,,,55
10921,10706,Undirected,226106,,,55
11088,10577,Undirected,247960,,,55
11092,11120,Undirected,278919,,,55
11263,11838,Undirected,239341,,,55
10472,10829,Undirected,228866,,,54
10476,10873,Undirected,226708,,,54
10521,10570,Undirected,242621,,,54
10541,10585,Undirected,224560,,,54
10551,11289,Undirected,231806,,,54
10551,11557,Undirected,238253,,,54
10557,10571,Undirected,232361,,,54
10559,10774,Undirected,225130,,,54
10561,10769,Undirected,225135,,,54
10569,11088,Undirected,273059,,,54
10657,10658,Undirected,241955,,,54
10658,10654,Undirected,237689,,,54
10774,10566,Undirected,236217,,,54
10843,10829,Undirected,228739,,,54
10994,10594,Undirected,229829,,,54
11376,11469,Undirected,239385,,,54
10476,11366,Undirected,228556,,,53
10539,10557,Undirected,232401,,,53
10541,10599,Undirected,224574,,,53
10571,10826,Undirected,227929,,,53
10613,10614,Undirected,251536,,,53
10679,11839,Undirected,231625,,,53
10698,11221,Undirected,226768,,,53
10844,10598,Undirected,225495,,,53
10936,10712,Undirected,227892,,,53
10947,10946,Undirected,225848,,,53
10472,10625,Undirected,228451,,,52
10476,10585,Undirected,224590,,,52
10485,10487,Undirected,224172,,,52
10521,10571,Undirected,228005,,,52
10530,10476,Undirected,224439,,,52
10532,10693,Undirected,225729,,,52
10556,10600,Undirected,234784,,,52
10557,10570,Undirected,228337,,,52
10558,10744,Undirected,228286,,,52
10559,10769,Undirected,225131,,,52
10570,10530,Undirected,227914,,,52
10622,11149,Undirected,238766,,,52
10645,11425,Undirected,228108,,,52
10693,10953,Undirected,239557,,,52
10699,10698,Undirected,224862,,,52
10747,11211,Undirected,240340,,,52
10769,10675,Undirected,230906,,,52
10774,10769,Undirected,225069,,,52
10790,10577,Undirected,230879,,,52
10801,10800,Undirected,232709,,,52
10801,10805,Undirected,232710,,,52
10805,10561,Undirected,225235,,,52
10843,10542,Undirected,228876,,,52
10843,10844,Undirected,233721,,,52
10908,10622,Undirected,238822,,,52
11165,10598,Undirected,226606,,,52
11423,10644,Undirected,230510,,,52
10476,11387,Undirected,227916,,,51
10487,10491,Undirected,234790,,,51
10532,10625,Undirected,227964,,,51
10535,10599,Undirected,225443,,,51
10541,10838,Undirected,225424,,,51
10566,10556,Undirected,224622,,,51
10641,10530,Undirected,230583,,,51
10656,10571,Undirected,237678,,,51
10698,10926,Undirected,234594,,,51
10747,10994,Undirected,235585,,,51
10906,10622,Undirected,238812,,,51
11120,13496,Undirected,331095,,,51
11263,11379,Undirected,240371,,,51
11423,10645,Undirected,230498,,,51
11469,10775,Undirected,234379,,,51
11469,11413,Undirected,228421,,,51
